"site_id","group_id","note","audio_id"
10,3,"","A025"
11,3,"back calibration only until 16m due to a pond ","xa23"
12,2,"","A034"
13,2,"","A033"
14,2,"","A037"
15,1,"Audio_id top missing group 1","A022"
16,2,"Top: A002 Bottom:A023","A023"
18,1,"","A032"
19,1,"","A026"
9,3,"new point stand still","xA06"
8,3,"created new point","A030"
7,3,"changed location","A024"
6,3,"new point","A027"
4,2,"new point Stands still there","A031"
5,2,"new point","A028"
17,2,"new position","A029"
3,1,"001+036","A036"
2,1,"","A035"
1,1,"back calibration only until 16m due to river shrubs","A021"
